City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,83.44,78,100,13.8,US,1686797392
84,grytviken,-54.2811,-36.5092,26.47,80,46,11.7,GS,1686797834
85,adh dhayd,25.2881,55.8816,88.52,53,15,10.33,AE,1686797834
86,melekeok village,7.4957,134.6367,82.96,83,100,10.36,PW,1686797834
87,harper,4.375,-7.7169,75.92,76,99,4.36,LR,1686797835
88,arteche,12.2645,125.4048,85.5,71,100,5.53,PH,1686797400
89,waat,51.1454,6.4958,59.77,79,0,2.3,DE,1686797835
90,tomakomai,42.6369,141.6033,66.34,82,75,12.66,JP,1686797835
91,callao,-12.0667,-77.15,70.72,78,100,12.66,PE,1686797415
92,crane,31.3974,-102.3501,87.51,15,95,3.56,US,1686797422
93,papatowai,-46.5619,169.4708,51.62,66,100,4.74,NZ,1686797383
94,pisco,-13.7,-76.2167,66.25,82,20,11.5,PE,1686797436
95,hithadhoo,-0.6,73.0833,83.7,76,100,9.53,MV,1686797422
96,invercargill,-46.4,168.35,49.51,68,100,2.33,NZ,1686797835
97,margaret river,-33.95,115.0667,60.03,73,100,21.56,AU,1686797387
98,college,64.8569,-147.8028,60.75,48,75,8.05,US,1686797836
99,tadine,-21.55,167.8833,75.54,59,0,4.92,NC,1686797836
100,vila velha,-20.3297,-40.2925,70.95,94,20,2.3,BR,1686797836
101,puerto ayora,-0.7393,-90.3518,78.55,89,91,8.01,EC,1686797384
102,san patricio,28.017,-97.5169,85.17,88,55,15.37,US,1686797416
103,fortaleza,-3.7227,-38.5247,80.73,83,40,6.91,BR,1686797571
104,sena madureira,-9.0656,-68.6569,57.61,85,13,4.5,BR,1686797837
105,luwuk,-0.9516,122.7875,81.18,81,100,5.3,ID,1686797837
106,nago,26.5881,127.9761,81.45,83,97,8.08,JP,1686797837
107,kirensk,57.7853,108.1119,51.42,88,100,9.93,RU,1686797837
108,kerikeri,-35.2268,173.9474,58.91,84,100,7.83,NZ,1686797383
109,alice springs,-23.7,133.8833,65.75,26,0,5.75,AU,1686797416
110,fiche,9.8,38.7333,53.29,67,100,1.7,ET,1686797838
111,ola,59.5833,151.2833,66.15,78,100,9.04,RU,1686797838
112,okhotsk,59.3833,143.3,46.72,93,100,6.64,RU,1686797459
113,boguchany,58.3814,97.4531,59.25,40,100,13.51,RU,1686797838
114,jalalabad,34.4265,70.4515,84.38,37,1,3.65,AF,1686797838
115,tateyama,34.9833,139.8667,71.49,91,100,7.25,JP,1686797838
116,enewetak,11.3474,162.3373,82.06,81,90,20.42,MH,1686797408
117,guerrero negro,27.9769,-114.0611,61.92,84,53,19.55,MX,1686797413
118,holualoa,19.6228,-155.9522,74.79,91,46,1.01,US,1686797839
119,la'ie,21.6477,-157.9253,84.16,73,6,4.0,US,1686797440
120,ilulissat,69.2167,-51.1,35.62,75,75,4.61,GL,1686797408
121,santa terezinha,-29.9002,-50.0904,59.9,88,100,14.2,BR,1686797839
122,aykhal,66.0,111.5,51.42,41,22,28.39,RU,1686797839
123,bilibino,68.0546,166.4372,48.06,35,100,10.87,RU,1686797386
124,port lincoln,-34.7333,135.8667,61.65,70,73,22.48,AU,1686797413
125,homer,59.6425,-151.5483,53.49,55,75,8.05,US,1686797840
126,acarau,-2.8856,-40.12,76.78,84,0,10.45,BR,1686797393
127,hawaiian paradise park,19.5933,-154.9731,81.91,74,20,9.22,US,1686797769
128,laminusa,5.5549,120.9136,77.63,86,100,13.38,PH,1686797394
129,las khorey,11.1595,48.1967,90.12,52,100,9.62,SO,1686797841
130,la ronge,55.1001,-105.2842,61.05,63,75,14.97,CA,1686797841
131,barentu,15.1139,37.5928,70.25,77,100,8.03,ER,1686797842
132,richmond,37.5538,-77.4603,72.14,72,100,4.61,US,1686797280
133,akureyri,65.6835,-18.0878,48.13,87,83,4.61,IS,1686797391
134,st. john's,47.5649,-52.7093,47.59,93,75,6.91,CA,1686797257
135,ocean shores,46.9737,-124.1563,57.2,80,100,12.66,US,1686797842
136,fort st. john,56.2499,-120.8529,57.09,67,100,12.66,CA,1686797438
137,mao,39.8885,4.2658,66.76,100,0,5.75,ES,1686797842
138,lebu,-37.6167,-73.65,52.18,94,68,7.52,CL,1686797391
139,el granada,37.5027,-122.4694,69.94,82,100,11.5,US,1686797419
140,la passe,45.5549,-0.8967,64.69,88,85,9.82,FR,1686797393
141,gadzhiyevo,69.2551,33.3362,46.99,76,90,24.63,RU,1686797431
142,atherton,53.5237,-2.4935,58.69,82,10,1.99,GB,1686797768
143,barra de santo antonio,-9.4047,-35.5072,74.48,85,1,4.09,BR,1686797438
144,robertsport,6.7533,-11.3686,79.45,79,92,11.41,LR,1686797843
145,east london,-33.0153,27.9116,56.75,64,85,12.03,ZA,1686797787
146,benguela,-12.5763,13.4055,67.5,88,3,1.03,AO,1686797843
147,saint-pierre,-21.3393,55.4781,71.28,94,75,17.27,RE,1686797843
148,paradip garh,20.3167,86.6167,95.16,49,92,8.39,IN,1686797843
149,happy valley-goose bay,53.3168,-60.3315,61.11,59,75,8.05,CA,1686797446
150,talnakh,69.4865,88.3972,51.21,51,0,4.34,RU,1686797426
151,pingdingshan,33.7385,113.3012,91.92,30,100,11.77,CN,1686797844
152,vohibinany,-17.35,49.0333,63.99,98,22,2.51,MG,1686797844
153,riohacha,11.5444,-72.9072,83.5,75,100,15.35,CO,1686797844
154,lompoc,34.6391,-120.4579,64.54,88,100,4.61,US,1686797417
155,west island,-12.1568,96.8225,82.38,83,40,18.61,CC,1686797382
156,kairouan,35.6781,10.0963,69.82,73,7,3.44,TN,1686797844
157,chadan,51.2833,91.5833,53.47,42,0,3.47,RU,1686797845
158,mejit,10.2753,170.8646,82.24,78,77,20.69,MH,1686797441
159,new norfolk,-42.7826,147.0587,59.92,79,97,1.99,AU,1686797414
160,pokhara,28.2333,83.9833,82.98,49,64,3.13,NP,1686797845
161,brisas de zicatela,15.8369,-97.0419,84.24,78,24,2.77,MX,1686797845
162,wailua homesteads,22.0669,-159.378,82.83,83,100,13.8,US,1686797845
163,thompson,55.7435,-97.8558,57.36,44,75,3.44,CA,1686797219
164,olyokminsk,60.3736,120.4264,80.53,21,74,13.2,RU,1686797845
165,anloga,5.7947,0.8973,80.33,76,100,13.58,GH,1686797846
166,kindia,10.0569,-12.8658,71.47,97,99,1.12,GN,1686797846
167,petropavlovsk-kamchatsky,53.0452,158.6483,70.39,43,0,13.42,RU,1686797399
168,ugoofaaru,5.6667,73.0,83.57,80,100,15.43,MV,1686797822
169,balakliya,49.4627,36.8595,60.91,96,100,5.86,UA,1686797846
170,olonkinbyen,70.9221,-8.7187,36.41,99,100,15.21,SJ,1686797383
171,ligatne,57.2343,25.0406,56.25,69,95,5.23,LV,1686797846
172,durango,24.8333,-104.8333,79.25,23,66,7.58,MX,1686797806
173,arish,31.1316,33.7984,71.92,78,0,3.67,EG,1686797846
174,minab,27.1467,57.0801,87.85,70,26,7.83,IR,1686797847
175,tralee,52.2704,-9.7026,57.67,96,35,0.83,IE,1686797811
176,praia da vitoria,38.7333,-27.0667,68.25,83,20,16.96,PT,1686797445
177,salamanca,40.8333,-6.0,55.99,68,30,3.04,ES,1686797847
178,kisoro,-1.2854,29.685,54.45,95,73,2.89,UG,1686797847
179,mournies,35.4764,24.0092,72.82,88,20,0.0,GR,1686797847
180,udachny,66.4167,112.4,48.45,70,90,23.98,RU,1686797388
181,afaahiti,-17.75,-149.2833,73.27,82,37,19.62,PF,1686797768
182,ar ruseris,11.8659,34.3869,74.73,83,100,8.1,SD,1686797392
183,misratah,32.3754,15.0925,71.55,87,29,21.39,LY,1686797848
184,zaozersk,69.4005,32.4476,46.45,78,96,25.79,RU,1686797848
185,barcelos,41.5388,-8.6151,65.84,94,37,2.57,PT,1686797848
186,laguna,38.421,-121.4238,82.38,50,0,13.8,US,1686797341
187,ancud,-41.8697,-73.8203,47.88,90,100,4.47,CL,1686797389
188,sitka,57.0531,-135.33,53.49,58,100,5.75,US,1686797385
189,emerald,-23.5333,148.1667,74.34,30,18,3.96,AU,1686797848
190,booue,-0.0921,11.9385,71.78,98,95,1.63,GA,1686797848
191,hohhot,40.8106,111.6522,82.69,23,0,4.47,CN,1686797849
192,yinchuan,38.4681,106.2731,86.56,19,0,16.8,CN,1686797849
193,nova sintra,14.8667,-24.7167,69.15,80,16,15.84,CV,1686797800
194,shantobe,52.4581,68.1839,63.36,34,17,5.44,KZ,1686797849
195,fale old settlement,-9.3852,-171.2468,83.57,71,72,14.9,TK,1686797398
196,wau,7.7029,27.9953,71.62,91,100,3.15,SS,1686797849
197,santana,-0.0583,-51.1817,80.78,94,0,5.75,BR,1686797849
198,belgrade,44.804,20.4651,63.34,86,0,5.75,RS,1686797849
199,groningen,53.25,6.75,58.15,83,3,3.44,NL,1686797639
200,puerto deseado,-47.7503,-65.8938,42.39,69,31,12.15,AR,1686797850
201,fort bragg,35.139,-79.006,78.64,66,100,13.8,US,1686797399
202,calvinia,-31.4707,19.776,48.96,97,100,26.22,ZA,1686797850
203,usinsk,65.9939,57.5281,41.99,64,96,15.57,RU,1686797850
204,pimentel,-6.8367,-79.9342,73.69,64,40,12.66,PE,1686797850
205,dongola,19.1667,30.4833,89.22,23,38,13.51,SD,1686797850
206,stanley,54.868,-1.6985,49.89,94,100,1.14,GB,1686797381
207,saint-philippe,-21.3585,55.7679,71.19,83,47,6.49,RE,1686797396
208,kapuvar,47.5922,17.0289,48.45,88,1,6.69,HU,1686797851
209,hamilton,39.1834,-84.5333,68.63,79,75,3.44,US,1686797308
210,queenstown,-31.8976,26.8753,48.47,78,96,10.92,ZA,1686797458
211,auki,-8.7676,160.7034,85.37,71,90,5.17,SB,1686797431
212,taksimo,56.3444,114.8794,69.21,37,100,2.3,RU,1686797423
213,aoulef,26.9667,1.0833,89.31,9,0,7.4,DZ,1686797851
214,armstrong,-32.7822,-61.6022,42.19,57,10,7.56,AR,1686797740
215,huarmey,-10.0681,-78.1522,69.96,81,37,8.52,PE,1686797852
216,labrador city,52.9463,-66.9114,57.11,94,100,0.0,CA,1686797852
217,turpan,42.9333,89.1667,97.07,13,98,1.72,CN,1686797852
218,sao gabriel da cachoeira,-0.1303,-67.0892,72.32,99,100,4.56,BR,1686797596
219,tocopilla,-22.092,-70.1979,63.63,55,3,9.48,CL,1686797852
220,uttarkashi,30.7333,78.45,83.16,39,96,4.63,IN,1686797852
221,kayangel,8.0823,134.7173,82.87,73,99,10.92,PW,1686797406
222,ciudad valles,21.9833,-99.0167,85.59,63,63,3.22,MX,1686797853
223,corinto,37.9407,22.9573,66.88,76,6,2.44,GR,1686797853
224,sydney mines,46.2367,-60.2177,51.03,95,100,17.27,CA,1686797853
225,vrangel',42.7297,133.0839,63.14,78,35,10.87,RU,1686797853
226,bolobo,-2.1667,16.2333,71.31,93,99,0.49,CD,1686797853
227,vilyuchinsk,52.9306,158.4028,71.87,73,81,4.79,RU,1686797394
228,puerto santa,-8.9906,-78.6456,70.27,81,22,11.05,PE,1686797853
229,juan griego,11.0817,-63.9655,80.73,89,75,11.5,VE,1686797853
230,serdar,38.9764,56.2757,80.29,55,94,13.53,TM,1686797854
231,minusinsk,53.7103,91.6875,55.42,64,1,5.5,RU,1686797854
232,mossel bay,-34.1831,22.146,53.53,78,98,6.62,ZA,1686797854
233,draguseni,45.9667,27.75,60.76,78,83,3.53,RO,1686797854
234,port hedland,-20.3167,118.5667,80.65,9,21,14.97,AU,1686797854
235,keflavik,64.0049,-22.5624,55.31,100,100,16.11,IS,1686797419
236,puerto baquerizo moreno,-0.9,-89.6,77.88,69,100,12.77,EC,1686797415
237,north bend,43.4065,-124.2243,58.86,72,0,18.41,US,1686797854
238,lautoka,-17.6167,177.4667,80.46,74,75,4.61,FJ,1686797855
239,dayr hafir,36.1569,37.7078,67.17,83,0,14.2,SY,1686797855
240,loen,7.7601,168.2307,82.85,81,100,21.41,MH,1686797855
241,nar'yan-mar,67.6713,53.087,43.07,82,100,15.3,RU,1686797406
242,xinyuan,37.3,99.0,58.08,36,0,3.22,CN,1686797855
243,touros,-5.1989,-35.4608,76.17,86,2,7.02,BR,1686797382
244,ulan bator,47.9077,106.8832,66.33,42,40,11.18,MN,1686797855
245,sovetskaya gavan',48.9723,140.2878,70.3,42,3,10.29,RU,1686797558
246,pacific grove,36.6177,-121.9166,61.25,86,100,10.0,US,1686797419
247,luebo,-5.35,21.4167,68.76,98,100,1.23,CD,1686797452
248,san antonio de pale,-1.4014,5.6325,76.08,87,56,10.49,GQ,1686797446
249,namibe,-15.1961,12.1522,66.67,69,0,8.28,AO,1686797416
250,tofol,5.3248,163.0078,83.73,76,74,17.02,FM,1686797386
251,ust-nera,64.5667,143.2,58.89,70,98,7.61,RU,1686797390
252,papao,-17.75,-149.55,74.88,80,16,20.42,PF,1686797856
253,kristiansund,63.1115,7.732,53.65,87,12,6.91,NO,1686797460
254,cedeira,43.6797,-8.0209,59.38,80,95,3.69,ES,1686797856
255,mount isa,-20.7333,139.5,71.37,23,76,10.36,AU,1686797784
256,la sarre,48.8002,-79.1996,51.66,92,100,7.58,CA,1686797856
257,reggane,26.7158,0.1714,88.39,9,0,8.52,DZ,1686797857
258,hirtshals,57.5881,9.9592,57.85,79,25,5.84,DK,1686797857
259,soe,-9.8607,124.284,77.43,46,91,8.61,ID,1686797857
260,saldanha,-33.0117,17.9442,60.85,92,100,29.04,ZA,1686797405
261,saidpur,25.7777,88.8917,90.1,69,64,13.29,BD,1686797857
262,sisimiut,66.9395,-53.6735,33.4,81,31,7.58,GL,1686797462
263,miramar,25.9873,-80.2323,86.02,84,100,10.36,US,1686797713
264,kyzyl-mazhalyk,51.1333,90.6,52.86,45,0,2.66,RU,1686797857
265,santa elena de uairen,4.6167,-61.1333,67.28,90,99,2.13,VE,1686797858
266,jamestown,42.097,-79.2353,58.59,83,0,3.44,US,1686797131
267,kuching,1.55,110.3333,88.21,72,20,4.61,MY,1686797858
268,quellon,-43.1167,-73.6167,41.25,100,75,2.3,CL,1686797415
269,selfoss,63.9331,-20.9971,53.85,96,100,3.49,IS,1686797858
270,moanda,-1.5575,13.2178,69.44,96,48,1.34,GA,1686797858
271,grove city,39.8815,-83.093,62.26,85,0,0.0,US,1686797858
272,jinchang,38.4953,102.1739,81.88,22,0,6.64,CN,1686797858
273,road town,18.4167,-64.6167,84.29,79,40,11.5,VG,1686797858
274,ust'-ilimsk,58.0006,102.6619,56.8,40,46,12.08,RU,1686797410
275,pucheng,27.9233,118.5333,86.31,47,100,2.13,CN,1686797859
276,kamianske,48.5113,34.6021,61.65,93,100,6.96,UA,1686797859
277,duobao,30.67,112.6895,87.57,47,100,6.22,CN,1686797859
278,ad dilam,23.9915,47.1627,84.61,17,3,2.86,SA,1686797859
279,flying fish cove,-10.4217,105.6791,78.48,88,86,12.66,CX,1686797453
280,shahabad,27.65,79.95,99.21,29,0,19.13,IN,1686797859
281,harstad,68.799,16.5293,45.16,100,67,13.0,NO,1686797859
282,krasnogorskiy,54.6025,61.231,62.85,61,61,5.03,RU,1686797860
283,igarka,67.4667,86.5833,41.7,92,100,14.9,RU,1686797860
284,jeju city,33.5097,126.5219,73.33,73,20,5.75,KR,1686797860
